"2022";"3";"1018";"4";"3";"19";"1018";"66";"1018";"3";"1018";"136.3";"42.8";"6";"12";"22";"7";"8";"2022"
"12022";"7";"6017";"11";"5";"7";"6017";"99";"6017";"2";"6017";"348.47";"41.58";"9";"14";"28";"2";"9";"2022"
"20220";"8";"10137";"18";"5";"6";"10137";"31";"10137";"5";"10137";"284.69";"66.54";"4";"19";"2";"5";"7";"2022"
"20221";"10";"10137";"9";"3";"5";"10137";"97";"10137";"2";"10137";"163.24";"29.97";"6";"18";"23";"6";"10";"2022"
"20222";"4";"10138";"13";"2";"26";"10138";"50";"10138";"1";"10138";"195.81";"60.2";"7";"16";"4";"7";"7";"2022"
"20223";"6";"10138";"6";"4";"5";"10138";"9";"10138";"5";"10138";"235.23";"28.19";"7";"15";"21";"7";"11";"2022"
"20224";"2";"10139";"1";"1";"23";"10139";"64";"10139";"4";"10139";"253.35";"26.73";"5";"12";"4";"3";"8";"2022"
"20225";"6";"10140";"9";"3";"28";"10140";"8";"10140";"5";"10140";"316.32";"57.16";"8";"13";"2";"4";"12";"2022"
"20226";"8";"10140";"5";"2";"22";"10140";"55";"10140";"3";"10140";"149.3";"1.75";"8";"16";"11";"6";"12";"2022"
"20227";"6";"10140";"4";"3";"29";"10140";"97";"10140";"3";"10140";"18.38";"58.97";"9";"12";"14";"4";"10";"2022"
"20228";"7";"10141";"8";"2";"4";"10141";"44";"10141";"5";"10141";"68.98";"57.24";"4";"13";"10";"5";"12";"2022"
"20229";"1";"10141";"7";"5";"4";"10141";"26";"10141";"5";"10141";"159.39";"24.52";"7";"17";"12";"2";"10";"2022"
"22022";"1";"11036";"1";"1";"17";"11036";"52";"11036";"1";"11036";"401.6";"21.29";"6";"15";"23";"4";"12";"2022"
"32022";"10";"16052";"18";"5";"20";"16052";"54";"16052";"4";"16052";"140.91";"3.87";"1";"13";"31";"7";"10";"2022"
"42022";"4";"21098";"8";"2";"24";"21098";"74";"21098";"5";"21098";"487.14";"60.79";"8";"18";"2";"2";"11";"2022"
"52022";"7";"26104";"12";"4";"17";"26104";"92";"26104";"4";"26104";"17.4";"36.46";"9";"12";"23";"6";"10";"2022"
"62022";"10";"31112";"9";"3";"7";"31112";"39";"31112";"5";"31112";"155.76";"28.88";"8";"15";"22";"1";"11";"2022"
"72022";"8";"36083";"19";"5";"18";"36083";"47";"36083";"5";"36083";"356.55";"10.26";"8";"16";"29";"5";"10";"2022"
"82022";"5";"41099";"17";"1";"12";"41099";"22";"41099";"1";"41099";"496.45";"16.37";"8";"18";"7";"4";"10";"2022"
"92022";"9";"46071";"22";"4";"16";"46071";"17";"46071";"1";"46071";"4.31";"11.11";"6";"18";"4";"3";"8";"2022"
"102022";"6";"51072";"6";"4";"1";"51072";"51";"51072";"4";"51072";"315.63";"57.83";"3";"14";"19";"1";"7";"2022"
"112022";"5";"56108";"12";"4";"25";"56108";"50";"56108";"1";"56108";"1.58";"32.37";"10";"13";"13";"3";"10";"2022"
"120220";"3";"60236";"12";"4";"16";"60236";"74";"60236";"5";"60236";"303.16";"38.6";"6";"11";"14";"2";"12";"2022"
"120221";"9";"60236";"6";"4";"14";"60236";"67";"60236";"4";"60236";"86.28";"61.91";"6";"14";"29";"5";"10";"2022"
"120222";"4";"60237";"17";"1";"21";"60237";"15";"60237";"2";"60237";"343.15";"66.4";"9";"11";"30";"4";"9";"2022"
"120223";"1";"60237";"5";"2";"16";"60237";"11";"60237";"4";"60237";"245.38";"23.5";"6";"15";"20";"1";"12";"2022"
"120224";"3";"60237";"11";"5";"4";"60237";"25";"60237";"4";"60237";"431.96";"18.95";"4";"10";"16";"4";"9";"2022"
"120225";"10";"60238";"13";"2";"25";"60238";"82";"60238";"2";"60238";"79.11";"57.72";"1";"14";"22";"4";"7";"2022"
"120226";"3";"60239";"7";"5";"8";"60239";"96";"60239";"4";"60239";"59.45";"17.86";"8";"16";"2";"5";"7";"2022"
"120227";"9";"60239";"21";"5";"28";"60239";"89";"60239";"2";"60239";"55.72";"68.12";"9";"12";"14";"3";"7";"2022"
"120228";"4";"60239";"2";"4";"9";"60239";"19";"60239";"4";"60239";"103.25";"46.4";"3";"16";"5";"4";"8";"2022"
"120229";"2";"60240";"9";"3";"12";"60240";"99";"60240";"2";"60240";"98.19";"11.9";"7";"15";"7";"4";"10";"2022"
"122022";"10";"61117";"17";"1";"28";"61117";"39";"61117";"4";"61117";"260.88";"55.5";"1";"15";"22";"1";"11";"2022"
"132022";"6";"66103";"3";"2";"25";"66103";"7";"66103";"3";"66103";"100.83";"11.93";"9";"13";"26";"7";"9";"2022"
"142022";"1";"71113";"15";"3";"2";"71113";"31";"71113";"1";"71113";"373.4";"1.6";"7";"17";"18";"1";"10";"2022"
"152022";"4";"76096";"18";"5";"29";"76096";"35";"76096";"1";"76096";"349.99";"61.5";"2";"15";"5";"5";"11";"2022"
"162022";"10";"81059";"6";"4";"11";"81059";"12";"81059";"5";"81059";"476.44";"0.79";"2";"19";"6";"1";"12";"2022"
"172022";"1";"86049";"19";"5";"13";"86049";"2";"86049";"4";"86049";"185.28";"14.75";"6";"10";"25";"1";"10";"2022"
"182022";"1";"91039";"16";"4";"24";"91039";"12";"91039";"1";"91039";"438.78";"67.69";"10";"17";"6";"5";"8";"2022"
"192022";"10";"96034";"20";"5";"7";"96034";"30";"96034";"5";"96034";"390.5";"13.99";"4";"13";"6";"3";"10";"2022"
