ID,GENDER,TYPE,AGE
1,K,Pracownik,43
2,M,Zwykły,33
3,K,Pracownik,36
4,K,Stały klient,70
5,M,Zwykły,65
6,M,Zwykły,12
7,K,Stały klient,5
8,M,Zwykły,37
9,M,Zwykły,27
10,M,Zwykły,41
11,M,Stały klient,77
12,K,Pracownik,3
13,K,Stały klient,12
14,K,Pracownik,25
15,K,Stały klient,78
16,K,Stały klient,65
17,M,Zwykły,56
18,K,Zwykły,30
19,M,Stały klient,5
20,M,Stały klient,35
21,M,Stały klient,51
22,K,Pracownik,68
23,M,Zwykły,73
24,M,Pracownik,12
25,M,Stały klient,75
26,M,Pracownik,38
27,M,Zwykły,64
28,M,Zwykły,71
29,M,Stały klient,28
30,K,Zwykły,43
31,M,Stały klient,39
32,M,Stały klient,19
33,K,Zwykły,40
34,K,Stały klient,0
35,M,Zwykły,15
36,M,Pracownik,68
37,K,Stały klient,15
38,K,Pracownik,67
39,K,Pracownik,17
40,M,Stały klient,21
41,M,Zwykły,45
42,K,Pracownik,73
43,K,Zwykły,12
44,M,Zwykły,41
45,M,Stały klient,18
46,K,Stały klient,41
47,M,Stały klient,4
48,K,Pracownik,36
49,M,Pracownik,54
50,K,Pracownik,80
51,K,Stały klient,15
52,K,Pracownik,72
53,M,Stały klient,46
54,K,Stały klient,20
55,M,Zwykły,69
56,M,Zwykły,80
57,K,Pracownik,78
58,K,Zwykły,29
59,M,Zwykły,15
60,M,Pracownik,15
61,K,Pracownik,20
62,K,Pracownik,45
63,K,Stały klient,7
64,K,Pracownik,41
65,M,Stały klient,78
66,K,Pracownik,71
67,M,Zwykły,30
68,K,Pracownik,31
69,K,Stały klient,67
70,M,Stały klient,46
71,M,Stały klient,68
72,M,Pracownik,26
73,K,Stały klient,23
74,K,Zwykły,37
75,K,Pracownik,2
76,M,Pracownik,11
77,K,Stały klient,75
78,K,Pracownik,44
79,K,Stały klient,42
80,K,Zwykły,15
81,M,Stały klient,1
82,K,Zwykły,21
83,K,Stały klient,37
84,K,Zwykły,27
85,M,Zwykły,76
86,K,Zwykły,26
87,M,Stały klient,26
88,M,Pracownik,72
89,M,Zwykły,32
90,K,Pracownik,25
91,K,Pracownik,17
92,K,Pracownik,47
93,M,Pracownik,64
94,M,Zwykły,57
95,M,Zwykły,40
96,M,Pracownik,60
97,M,Pracownik,72
98,K,Zwykły,9
99,M,Zwykły,7
100,M,Stały klient,69
101,K,Stały klient,14
102,K,Zwykły,73
103,K,Stały klient,49
104,K,Pracownik,25
105,M,Zwykły,45
106,M,Pracownik,44
107,M,Stały klient,76
108,M,Pracownik,71
109,M,Stały klient,40
110,K,Stały klient,27
111,K,Pracownik,42
112,K,Pracownik,36
113,K,Stały klient,12
114,K,Pracownik,7
115,K,Pracownik,29
116,M,Pracownik,37
117,K,Zwykły,8
118,M,Pracownik,2
119,M,Pracownik,33
120,M,Stały klient,19
121,M,Pracownik,52
122,M,Stały klient,13
123,M,Stały klient,9
124,K,Stały klient,37
125,K,Pracownik,31
126,M,Stały klient,7
127,M,Stały klient,59
128,K,Zwykły,23
129,K,Zwykły,53
130,K,Pracownik,47
131,K,Zwykły,52
132,K,Pracownik,11
133,M,Pracownik,2
134,M,Zwykły,53
135,M,Zwykły,38
136,K,Zwykły,4
137,K,Stały klient,3
138,M,Zwykły,80
139,K,Zwykły,49
140,M,Pracownik,50
141,M,Pracownik,42
142,K,Stały klient,66
143,K,Zwykły,45
144,M,Zwykły,54
145,K,Stały klient,30
146,M,Pracownik,32
147,M,Zwykły,14
148,M,Stały klient,55
149,K,Zwykły,63
