ID,BILL_NUMBER,METHOD,TIP
1,101629,Bon,83
2,83205,Gotówka,31
3,82064,Bon,20
4,186452,Gotówka,21
5,260711,Gotówka,33
6,184774,Karta,23
7,55376,Bon,147
8,107583,Gotówka,7
9,133950,Gotówka,67
10,124520,Czek,88
11,222030,Czek,13
12,297000,Gotówka,130
13,262786,Gotówka,68
14,164562,Czek,89
15,185994,Gotówka,70
16,103336,Karta,62
17,241369,Bon,148
18,136049,Karta,127
19,187253,Karta,7
20,172306,Bon,53
21,25586,Czek,76
22,59535,Bon,106
23,77135,Karta,112
24,134243,Karta,33
25,233305,Bon,11
26,75811,Bon,65
27,131582,Karta,109
28,29580,Gotówka,49
29,91267,Bon,104
30,61570,Bon,80
31,46841,Karta,105
32,163403,Karta,32
33,122472,Czek,57
34,264188,Karta,62
35,240456,Karta,10
36,120039,Gotówka,39
37,185632,Karta,100
38,82722,Gotówka,37
39,153125,Bon,113
40,109176,Gotówka,87
41,230553,Karta,136
42,244262,Bon,143
43,242485,Gotówka,85
44,236747,Bon,2
45,9019,Czek,148
46,177609,Bon,53
47,7797,Bon,34
48,146489,Bon,148
49,19968,Czek,97
50,35646,Bon,88
51,6353,Czek,93
52,62000,Czek,127
53,285756,Gotówka,100
54,208568,Gotówka,47
55,230271,Karta,57
56,297156,Gotówka,111
57,179778,Gotówka,9
58,249047,Czek,97
59,73733,Czek,24
60,102485,Czek,58
61,57332,Czek,104
62,127679,Czek,147
63,121144,Czek,131
64,146225,Bon,132
65,203931,Czek,15
66,72493,Czek,25
67,213704,Karta,13
68,227922,Czek,10
69,70777,Bon,52
70,277397,Gotówka,145
71,137063,Czek,13
72,102113,Karta,143
73,41899,Czek,142
74,97171,Bon,144
75,224601,Czek,34
76,277159,Karta,52
77,288920,Czek,9
78,275184,Gotówka,129
79,28953,Czek,41
80,69360,Gotówka,104
81,171218,Gotówka,67
82,234424,Gotówka,25
83,238194,Czek,75
84,104005,Gotówka,3
85,224479,Bon,129
86,221224,Karta,141
87,56362,Czek,96
88,19524,Bon,64
89,170946,Czek,87
90,26222,Karta,63
91,123990,Bon,75
92,145688,Czek,147
93,32679,Czek,72
94,195327,Karta,28
95,139635,Czek,131
96,107083,Czek,130
97,250973,Bon,57
98,274484,Bon,16
99,109321,Czek,130
100,254390,Karta,8
101,37697,Czek,41
102,83016,Karta,137
103,173840,Czek,10
104,176431,Gotówka,110
105,189232,Karta,79
106,25107,Karta,53
107,182159,Bon,39
108,279824,Czek,113
109,174670,Gotówka,150
110,170693,Karta,18
111,39549,Karta,20
112,89528,Karta,118
113,279102,Gotówka,50
114,296033,Gotówka,122
115,24615,Czek,77
116,85568,Bon,24
117,18485,Bon,8
118,121529,Karta,23
119,189847,Czek,46
120,142610,Karta,50
121,185602,Czek,37
122,298614,Gotówka,138
123,279805,Bon,108
124,298714,Bon,11
125,224907,Bon,119
126,7293,Bon,50
127,289554,Czek,94
128,285662,Bon,134
129,274871,Bon,143
130,33047,Bon,24
131,83236,Karta,136
132,37128,Karta,115
133,272223,Gotówka,125
134,247558,Gotówka,146
135,253064,Karta,114
136,141598,Czek,61
137,281908,Gotówka,18
138,66994,Gotówka,59
139,24568,Czek,137
140,81968,Karta,91
141,224212,Karta,28
142,74180,Karta,56
143,58097,Karta,93
144,2684,Czek,72
145,64282,Karta,93
146,207009,Bon,10
147,67777,Karta,43
148,97521,Czek,51
149,119616,Karta,88
150,175376,Bon,149
151,243940,Bon,56
152,272693,Bon,47
153,252567,Gotówka,65
154,65694,Karta,73
155,109795,Karta,56
156,164226,Bon,146
157,282115,Karta,63
158,141152,Gotówka,57
159,154989,Karta,94
160,79418,Czek,12
161,352,Gotówka,98
162,188447,Gotówka,53
163,82693,Gotówka,46
164,260065,Karta,125
165,13693,Bon,66
166,60259,Karta,116
167,176571,Czek,58
168,113060,Gotówka,135
169,20907,Bon,96
170,182220,Czek,131
171,82442,Czek,10
172,38493,Karta,10
173,246906,Czek,28
174,1945,Bon,133
175,209662,Bon,90
176,238854,Czek,101
177,145539,Gotówka,54
178,165838,Karta,137
179,287747,Bon,78
180,257953,Bon,81
181,210248,Gotówka,141
182,272770,Bon,39
183,97139,Karta,28
184,226640,Gotówka,126
185,113479,Bon,22
186,143379,Bon,73
187,29062,Bon,45
