ID,GENDER,AGE,TYPE
1,K,43,Pracownik
2,M,33,Zwykły
3,K,36,Pracownik
4,K,70,Stały klient
5,M,65,Zwykły
6,M,12,Zwykły
7,K,5,Stały klient
8,M,37,Zwykły
9,M,27,Zwykły
10,M,41,Zwykły
11,M,77,Stały klient
12,K,3,Pracownik
13,K,12,Stały klient
14,K,25,Pracownik
15,K,78,Stały klient
16,K,65,Stały klient
17,M,56,Zwykły
18,K,30,Zwykły
19,M,5,Stały klient
20,M,35,Stały klient
21,M,51,Stały klient
22,K,68,Pracownik
23,M,73,Zwykły
24,M,12,Pracownik
25,M,75,Stały klient
26,M,38,Pracownik
27,M,64,Zwykły
28,M,71,Zwykły
29,M,28,Stały klient
30,K,43,Zwykły
31,M,39,Stały klient
32,M,19,Stały klient
33,K,40,Zwykły
34,K,0,Stały klient
35,M,15,Zwykły
36,M,68,Pracownik
37,K,15,Stały klient
38,K,67,Pracownik
39,K,17,Pracownik
40,M,21,Stały klient
41,M,45,Zwykły
42,K,73,Pracownik
43,K,12,Zwykły
44,M,41,Zwykły
45,M,18,Stały klient
46,K,41,Stały klient
47,M,4,Stały klient
48,K,36,Pracownik
49,M,54,Pracownik
50,K,80,Pracownik
51,K,15,Stały klient
52,K,72,Pracownik
53,M,46,Stały klient
54,K,20,Stały klient
55,M,69,Zwykły
56,M,80,Zwykły
57,K,78,Pracownik
58,K,29,Zwykły
59,M,15,Zwykły
60,M,15,Pracownik
61,K,20,Pracownik
62,K,45,Pracownik
63,K,7,Stały klient
64,K,41,Pracownik
65,M,78,Stały klient
66,K,71,Pracownik
67,M,30,Zwykły
68,K,31,Pracownik
69,K,67,Stały klient
70,M,46,Stały klient
71,M,68,Stały klient
72,M,26,Pracownik
73,K,23,Stały klient
74,K,37,Zwykły
75,K,2,Pracownik
76,M,11,Pracownik
77,K,75,Stały klient
78,K,44,Pracownik
79,K,42,Stały klient
80,K,15,Zwykły
81,M,1,Stały klient
82,K,21,Zwykły
83,K,37,Stały klient
84,K,27,Zwykły
85,M,76,Zwykły
86,K,26,Zwykły
87,M,26,Stały klient
88,M,72,Pracownik
89,M,32,Zwykły
90,K,25,Pracownik
91,K,17,Pracownik
92,K,47,Pracownik
93,M,64,Pracownik
94,M,57,Zwykły
95,M,40,Zwykły
96,M,60,Pracownik
97,M,72,Pracownik
98,K,9,Zwykły
99,M,7,Zwykły
100,M,69,Stały klient
101,K,14,Stały klient
102,K,73,Zwykły
103,K,49,Stały klient
104,K,25,Pracownik
105,M,45,Zwykły
106,M,44,Pracownik
107,M,76,Stały klient
108,M,71,Pracownik
109,M,40,Stały klient
110,K,27,Stały klient
111,K,42,Pracownik
112,K,36,Pracownik
113,K,12,Stały klient
114,K,7,Pracownik
115,K,29,Pracownik
116,M,37,Pracownik
117,K,8,Zwykły
118,M,2,Pracownik
119,M,33,Pracownik
120,M,19,Stały klient
121,M,52,Pracownik
122,M,13,Stały klient
123,M,9,Stały klient
124,K,37,Stały klient
125,K,31,Pracownik
126,M,7,Stały klient
127,M,59,Stały klient
128,K,23,Zwykły
129,K,53,Zwykły
130,K,47,Pracownik
131,K,52,Zwykły
132,K,11,Pracownik
133,M,2,Pracownik
134,M,53,Zwykły
135,M,38,Zwykły
136,K,4,Zwykły
137,K,3,Stały klient
138,M,80,Zwykły
139,K,49,Zwykły
140,M,50,Pracownik
141,M,42,Pracownik
142,K,66,Stały klient
143,K,45,Zwykły
144,M,54,Zwykły
145,K,30,Stały klient
146,M,32,Pracownik
147,M,14,Zwykły
148,M,55,Stały klient
149,K,63,Zwykły
150,K,22,Stały klient
151,M,23,Pracownik
152,K,40,Stały klient
153,K,77,Zwykły
154,K,36,Pracownik
155,M,20,Stały klient
156,K,41,Zwykły
157,M,24,Pracownik
158,M,41,Stały klient
159,M,50,Stały klient
160,K,33,Pracownik
161,M,46,Stały klient
162,K,80,Stały klient
163,K,37,Zwykły
164,M,78,Pracownik
165,K,49,Zwykły
166,K,75,Stały klient
167,K,0,Stały klient
168,M,20,Zwykły
169,K,37,Stały klient
170,K,21,Pracownik
171,K,66,Stały klient
172,M,29,Zwykły
173,K,18,Stały klient
174,M,56,Stały klient
175,M,65,Zwykły
176,K,56,Pracownik
177,M,40,Zwykły
178,M,39,Zwykły
179,K,68,Pracownik
180,M,4,Stały klient
181,K,47,Stały klient
182,M,3,Stały klient
183,M,5,Zwykły
184,K,49,Pracownik
185,K,33,Pracownik
186,M,46,Zwykły
187,K,30,Pracownik
188,M,25,Pracownik
189,K,73,Stały klient
190,M,73,Stały klient
191,M,40,Zwykły
192,K,10,Stały klient
193,K,24,Stały klient
194,K,12,Pracownik
195,K,5,Pracownik
196,M,10,Zwykły
197,K,2,Zwykły
198,M,49,Pracownik
199,K,32,Stały klient
200,K,20,Stały klient
201,K,46,Stały klient
202,M,16,Stały klient
203,K,18,Pracownik
204,K,77,Stały klient
205,M,16,Zwykły
206,K,53,Pracownik
207,K,7,Pracownik
208,K,43,Zwykły
209,M,66,Zwykły
210,M,35,Stały klient
211,K,3,Pracownik
212,K,47,Zwykły
213,K,65,Zwykły
214,K,3,Stały klient
215,K,10,Stały klient
216,M,31,Stały klient
217,M,52,Pracownik
218,M,73,Zwykły
219,K,49,Stały klient
220,M,71,Stały klient
221,K,59,Zwykły
222,K,77,Stały klient
223,K,38,Pracownik
224,K,12,Zwykły
225,M,6,Pracownik
226,K,62,Zwykły
227,M,29,Stały klient
228,K,9,Stały klient
229,M,21,Pracownik
230,M,2,Zwykły
231,M,33,Zwykły
232,K,20,Zwykły
233,M,68,Zwykły
234,M,55,Stały klient
235,K,75,Stały klient
236,K,35,Stały klient
237,K,1,Stały klient
238,K,22,Pracownik
239,K,51,Stały klient
240,M,77,Zwykły
241,M,56,Pracownik
242,M,39,Stały klient
243,M,38,Stały klient
244,K,33,Stały klient
245,K,61,Pracownik
246,K,66,Zwykły
247,K,74,Stały klient
248,K,27,Pracownik
249,K,28,Stały klient
250,K,31,Zwykły
251,M,62,Stały klient
252,K,41,Stały klient
253,M,23,Stały klient
254,M,17,Zwykły
255,K,70,Zwykły
256,M,72,Zwykły
257,K,10,Zwykły
258,M,7,Stały klient
259,K,45,Pracownik
260,K,48,Zwykły
261,K,49,Stały klient
262,K,26,Zwykły
263,M,18,Pracownik
264,M,44,Zwykły
265,K,22,Stały klient
266,K,52,Stały klient
267,K,49,Zwykły
268,K,15,Zwykły
269,K,28,Stały klient
270,K,36,Pracownik
271,K,49,Zwykły
272,K,68,Stały klient
273,K,2,Zwykły
274,K,63,Pracownik
275,K,23,Stały klient
276,M,60,Pracownik
277,K,55,Pracownik
278,K,72,Zwykły
279,M,43,Zwykły
280,K,30,Stały klient
281,K,5,Pracownik
282,M,53,Pracownik
283,K,21,Pracownik
284,M,27,Stały klient
285,M,27,Pracownik
286,K,10,Zwykły
287,M,10,Zwykły
288,M,24,Pracownik
289,K,56,Zwykły
290,M,0,Stały klient
291,M,31,Zwykły
292,M,74,Stały klient
293,M,68,Pracownik
294,K,13,Pracownik
295,M,8,Zwykły
296,M,69,Stały klient
297,M,16,Pracownik
298,K,26,Pracownik
299,M,5,Zwykły
300,M,68,Zwykły
301,K,54,Zwykły
302,M,63,Stały klient
303,M,78,Pracownik
304,M,37,Stały klient
305,K,48,Stały klient
306,M,30,Zwykły
307,M,10,Zwykły
308,M,52,Stały klient
309,M,57,Stały klient
310,M,54,Pracownik
311,K,77,Stały klient
312,M,21,Stały klient
313,K,25,Pracownik
314,K,78,Zwykły
315,K,71,Pracownik
316,M,65,Stały klient
317,K,59,Stały klient
318,M,6,Pracownik
319,M,11,Zwykły
320,M,8,Stały klient
321,K,24,Pracownik
322,K,35,Zwykły
323,K,14,Stały klient
324,M,70,Pracownik
325,K,59,Pracownik
326,M,1,Stały klient
327,M,65,Pracownik
328,M,15,Pracownik
329,M,47,Stały klient
330,K,11,Pracownik
331,K,51,Stały klient
